row,col,rep,line,grid,entry,name,breeder,irrigation,Tier,Row,Name/Code,Breeder,Weight per row (lbs),cc_0412,cc_0415,cc_0427,cc_0506,cc_0516,cc_0520,cc_0523,cc_0527,cc_0531,cc_0602,cc_0607,cc_0614,cc_0617,cc_0620,cc_0623,cc_0627,cc_0630,cc_0708,cc_0713,cc_0716,cc_0719,cc_0721,cc_0725,cc_0728,cc_0802,cc_0808,cc_0812
7,14,112.000000,2,1,8,TAM_WK-11_Lo,Hague,No,1,28,TAM WK-11 Lo,Hague,4.380000,0.193724,0.014324,0.621734,1.224048,3.985857,18.161039,31.325966,44.254090,49.617973,52.768303,88.888174,90.883514,92.182597,92.393648,90.683027,99.190798,98.887644,96.654015,97.147728,95.980556,92.290940,89.795173,82.001675,86.918003,57.712971,35.435279,0.055611
7,15,113.000000,1,1,C,PHY_499,Visual_Check,No,1,29,PHY499,Visual Check,7.260000,0.141469,0.100265,1.243467,4.933401,28.032404,47.417081,69.676892,63.520875,69.340229,70.177172,88.641907,90.560733,95.926034,94.902425,93.260730,99.540725,98.627288,98.753490,99.464572,98.471140,99.120681,94.926414,89.674778,90.462410,62.833667,42.031833,0.223768
7,15,113.000000,2,1,C,PHY_499,Visual_Check,No,1,30,PHY499,Visual Check,5.520000,0.587543,0.034018,1.447619,4.259685,9.805084,27.591000,59.560686,49.681479,58.539780,58.619017,90.494398,91.987158,93.461697,94.650489,92.683345,98.628688,99.156939,99.329674,98.142840,97.904994,95.386408,87.571944,78.999125,87.704072,56.994585,40.975207,0.175572
7,16,114.000000,1,1,9,11-11-307BB,Dever,No,1,31,11-11-307BB,Dever ,6.182000,0.219214,0.076989,2.551892,15.309407,38.288009,53.534775,76.387862,65.719367,74.488497,70.047636,75.437618,73.613426,83.122155,79.179804,74.839706,94.471303,89.713740,86.130589,92.056414,90.599486,85.691168,83.868104,77.202430,81.449729,57.336042,42.090338,0.595038
7,16,114.000000,2,1,9,11-11-307BB,Dever,No,1,32,11-11-307BB,Dever ,6.048000,0.174606,0.100265,2.143589,8.190347,43.156137,53.069514,76.266246,68.000025,76.153498,69.435283,98.401599,95.960454,97.473837,95.808769,92.113501,100.061790,99.193813,96.344563,98.461384,96.535211,96.737025,94.380439,92.525885,91.137474,75.982905,62.718707,1.096331
7,17,115.000000,1,1,10,11-21-703S,Dever,No,1,33,11-21-703S,Dever ,5.490000,0.117254,0.220225,1.566398,8.566374,45.504685,66.009724,88.938591,71.972856,74.237702,69.121256,96.611852,94.758649,97.192251,96.626781,95.095961,99.784909,99.966500,98.398194,98.907345,98.207603,98.248255,96.513444,95.421785,94.816765,81.484817,69.918376,0.843434
7,17,115.000000,2,1,10,11-21-703S,Dever,No,1,34,11-21-703S,Dever ,5.896000,0.228135,0.111008,1.330696,12.857395,32.472954,46.278675,68.962677,64.324768,71.748327,66.693435,94.630738,92.587618,93.933768,93.383349,88.774052,99.215147,98.745734,98.379440,99.694282,99.334532,99.434608,98.502243,96.373102,95.322740,77.517126,66.823885,0.882097
7,18,116.000000,1,1,C,PHY_499,Visual_Check,No,1,35,PHY499,Visual Check,6.720000,0.172057,0.035809,0.276532,2.324711,22.015032,35.678631,52.639653,63.467578,67.719349,63.694478,95.033862,92.931623,94.090204,93.395790,91.510138,98.594600,99.036818,97.602165,97.838653,96.620248,97.538269,94.897881,90.820909,91.348512,66.830592,55.127172,0.949095
7,18,116.000000,2,1,C,PHY_499,Visual_Check,No,1,36,PHY499,Visual Check,6.242000,0.061176,0.023276,0.788767,7.107309,22.813872,34.348181,63.874722,60.192047,60.100283,59.037066,89.653640,90.369718,92.287502,90.069624,87.594979,97.052277,95.814219,93.938762,93.045245,91.101280,90.055121,83.321358,73.427735,81.727886,54.141308,43.095528,0.575971
7,19,117.000000,1,1,11,13-2-501FQ,Dever,No,1,37,13-2-501FQ,Dever ,5.776000,0.071372,0.014324,0.172601,1.184878,18.907273,34.950051,55.489880,59.325975,68.815417,67.566823,85.653766,84.724153,89.957516,87.537209,84.461678,96.721133,95.048237,93.714749,95.781131,95.417475,95.691209,92.547412,88.668714,89.656335,69.739609,56.448447,2.343077
7,19,117.000000,2,1,11,13-2-501FQ,Dever,No,1,38,13-2-501FQ,Dever ,5.470000,0.145293,0.012533,0.341490,1.045826,14.904729,28.576958,47.195696,55.481945,63.571939,61.425633,92.313948,84.228928,88.152973,86.887154,84.539613,93.607963,92.786607,93.439681,95.346835,94.348002,93.712738,90.736749,88.783185,88.565649,69.617214,56.462975,0.804506
7,20,118.000000,1,1,12,7-7-1303CT,Dever,No,1,39,7-7-1303CT,Dever ,5.534000,0.463917,0.299005,2.876678,5.714833,36.923932,51.944967,64.175445,71.821848,77.862621,68.006460,88.356426,78.219903,86.429409,85.361235,80.218021,93.148814,91.306603,90.010712,92.663890,91.531061,88.567617,83.667605,79.365290,81.593648,64.848501,50.524898,0.665478
7,20,118.000000,2,1,12,7-7-1303CT,Dever,No,1,40,7-7-1303CT,Dever ,6.200000,0.234507,0.059085,2.498070,4.171554,37.580942,51.903390,61.603828,68.148812,76.102410,65.666960,98.649434,93.373788,96.877537,96.146549,92.843404,98.964702,98.062440,96.745704,96.811238,96.549001,96.289861,93.928544,91.128772,90.996137,74.488053,55.723611,0.213970
