cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812
0.020536,0.0,1e-06,0.017622,0.106223,0.180283,0.237091,0.337094,0.480754,0.558057,0.772678,0.891879,0.945158,0.98544,1.020395,0.983603,0.968788,0.911763,0.976674,0.946836,0.96827,0.941702,0.899197,0.867247,0.647261,0.001671
0.018755,0.0,0.0,0.015201,0.082565,0.16253,0.233347,0.337214,0.446196,0.532867,0.727429,0.826132,0.874399,0.918277,0.958611,0.937619,0.938561,0.901212,0.951156,0.909866,0.922476,0.908311,0.88214,0.87755,0.702829,0.000102
0.018658,0.0,0.0,0.015006,0.091468,0.15757,0.221854,0.322403,0.411773,0.51161,0.716731,0.832379,0.892912,0.919187,0.965121,0.945878,0.928163,0.891335,0.92732,0.882609,0.896649,0.878444,0.853046,0.837334,0.674765,0.000286
0.0162,0.0,0.0,0.00388,0.032194,0.063321,0.092167,0.164678,0.234709,0.333073,0.585099,0.696319,0.767309,0.79852,0.844918,0.833509,0.772787,0.74116,0.786933,0.768385,0.769615,0.722707,0.721506,0.678499,0.51377,0.000158
0.018335,0.0,0.0,5.3e-05,0.004484,0.021185,0.039371,0.079251,0.143011,0.212791,0.363051,0.493467,0.635566,0.676148,0.710069,0.724439,0.71423,0.7109,0.738689,0.715057,0.715462,0.690287,0.660241,0.673962,0.516074,0.000921
0.023399,0.0,1e-06,0.01381,0.086571,0.151782,0.199891,0.268757,0.405893,0.461834,0.703474,0.856833,0.933896,0.967751,1.030622,0.991336,0.902986,0.878261,0.932562,0.905083,0.919523,0.892448,0.869107,0.851662,0.537433,0.001117
0.02042,0.0,0.0,0.012272,0.073767,0.137917,0.196994,0.259,0.387221,0.485214,0.712561,0.822536,0.869514,0.911198,0.954516,0.929272,0.889634,0.883009,0.917723,0.884735,0.900546,0.875128,0.855455,0.843523,0.547711,0.000189
0.020134,0.0,0.0,0.009284,0.064704,0.130643,0.194734,0.242286,0.365733,0.454882,0.705471,0.821526,0.869956,0.918188,0.967161,0.937303,0.901699,0.898462,0.929517,0.893165,0.909234,0.896594,0.874416,0.853855,0.470885,0.000293
0.019489,0.0,0.0,0.014798,0.088955,0.154296,0.213199,0.291381,0.42799,0.524596,0.735068,0.847999,0.902651,0.928354,0.979401,0.949142,0.908669,0.905883,0.943199,0.907925,0.923378,0.890927,0.855816,0.832154,0.372375,9.5e-05
0.017215,0.0,0.0,0.011435,0.064391,0.12115,0.171599,0.235547,0.335855,0.455019,0.662503,0.766173,0.813442,0.846122,0.899452,0.877974,0.825331,0.816705,0.849757,0.81341,0.819651,0.80355,0.790866,0.725516,0.277331,0.000588
0.013332,0.0,0.0,0.005376,0.046483,0.087366,0.123811,0.190608,0.276324,0.359229,0.595661,0.696638,0.77844,0.788765,0.850192,0.846201,0.760703,0.741089,0.77082,0.734277,0.733503,0.678522,0.723364,0.50401,0.074548,0.000662
0.013633,0.0,0.0,0.002843,0.027943,0.067608,0.098866,0.142544,0.213429,0.281493,0.404356,0.526406,0.644459,0.677074,0.745252,0.745397,0.696501,0.68437,0.739183,0.702366,0.700281,0.653848,0.674073,0.576796,0.00584,0.000385
