ch0412,ch0415,ch0427,ch0506,ch0516,ch0520,ch0523,ch0527,ch0531,ch0602,ch0614,ch0617,ch0620,ch0623,ch0627,ch0630,ch0708,ch0713,ch0716,ch0719,ch0721,ch0725,ch0728,ch0802,ch0808,ch0812
0.045296,0.0,0.0,0.045992,0.24113,0.443079,0.602481,0.763719,0.849952,0.987892,0.781744,0.862099,0.955946,0.999578,1.072841,1.071357,1.051985,1.155902,1.10174,1.018746,1.084043,1.07363,1.016092,1.013113,0.36869,0.177964
0.052773,0.0,0.0,0.161757,0.336277,0.445805,0.571391,0.652594,0.753639,0.883465,1.045007,1.124609,1.214436,1.227356,1.27008,1.237612,1.212181,1.244345,1.177214,1.113212,1.191133,1.190497,1.137455,1.112546,0.350515,0.112426
0.050549,0.0,0.0,0.165937,0.339973,0.447104,0.561313,0.63862,0.717834,0.755759,1.064654,1.134215,1.212008,1.210225,1.240141,1.218195,1.230074,1.25877,1.203157,1.1244,1.195592,1.202192,1.128519,1.090331,0.515152,0.037104
0.053376,0.0,0.0,0.197335,0.380605,0.498391,0.619114,0.680664,0.761109,0.791494,1.092017,1.150382,1.22919,1.229143,1.248794,1.224618,1.200441,1.171876,1.211335,1.132752,1.216439,1.208248,1.139293,1.146444,0.54882,0.047014
0.053485,0.0,0.0,0.172193,0.355713,0.463729,0.582954,0.667234,0.768108,0.795568,1.115099,1.18779,1.260789,1.270912,1.276777,1.253714,1.239004,1.268946,1.257325,1.159373,1.232713,1.235994,1.149693,1.162626,0.502193,0.017428
0.057112,0.0,0.000243,0.168476,0.349338,0.460157,0.583323,0.674308,0.768414,0.797239,1.109072,1.172746,1.245154,1.256759,1.269833,1.252738,1.22259,1.273756,1.237534,1.127132,1.218129,1.14525,1.082675,1.115836,0.312369,0.106446
0.055326,0.0,0.001842,0.189989,0.364931,0.462516,0.59762,0.659996,0.75112,0.77636,1.071412,1.147624,1.217505,1.22606,1.230856,1.212619,1.211211,1.317966,1.208121,1.116113,1.1814,1.175033,0.982449,1.085748,0.185396,0.075309
0.057768,0.0,0.002091,0.171363,0.353622,0.452884,0.577042,0.671952,0.75567,0.779198,1.067113,1.139792,1.197297,1.199193,1.204417,1.194513,1.158475,1.213647,1.161669,1.067532,1.165274,1.151517,0.953064,1.064648,0.084265,0.033071
0.05865,0.0,0.005632,0.198161,0.38132,0.459029,0.574088,0.641989,0.71617,0.746436,1.02856,1.093405,1.176157,1.17432,1.178635,1.17704,1.200921,1.185377,1.147242,1.055994,1.151216,1.16579,0.899503,0.98408,0.009189,0.082327
0.062696,0.0,0.003893,0.181676,0.384551,0.458398,0.568825,0.64183,0.728318,0.774423,1.045575,1.111143,1.199421,1.204624,1.229132,1.213672,1.175923,1.210532,1.161353,1.069697,1.146781,1.098665,0.73334,1.067889,0.102691,0.060223
0.060447,0.0,0.003159,0.08879,0.195191,0.318132,0.436449,0.490365,0.619058,0.674267,0.708416,0.818205,0.979519,1.027981,1.104341,1.105385,1.045642,1.100814,1.044778,0.975994,1.052021,1.017471,0.584243,0.813205,0.154787,0.080815
0.103254,0.027037,0.044923,0.215755,0.402176,0.513041,0.596138,0.676274,0.775909,0.886524,1.16277,1.208396,1.268826,1.304321,1.32728,1.297083,1.320167,1.356895,1.317337,1.227445,1.292524,1.328369,1.216286,1.332668,1.075026,0.042157
0.093989,0.010311,0.030162,0.194211,0.350514,0.45857,0.543662,0.637124,0.714087,0.8118,1.102377,1.1696,1.237297,1.263034,1.29793,1.282128,1.272044,1.310979,1.320544,1.17344,1.257182,1.264163,1.171294,1.314883,1.033488,0.051182
0.095318,0.002573,0.023876,0.176589,0.344371,0.442977,0.547083,0.617016,0.705819,0.789421,1.028792,1.077067,1.144677,1.181999,1.224018,1.227459,1.217317,1.252113,1.23927,1.135901,1.215445,1.20965,1.174465,1.257706,1.028156,0.050306
0.09358,0.009907,0.022461,0.20357,0.375926,0.469547,0.574922,0.666741,0.766393,0.842663,1.058143,1.122981,1.187321,1.222,1.250429,1.238645,1.255215,1.32604,1.279175,1.185148,1.245831,1.223758,1.220294,1.283967,1.088208,0.07092
0.095185,0.012911,0.026425,0.220718,0.416179,0.500613,0.612697,0.729678,0.808681,0.898251,1.094051,1.166772,1.231253,1.272106,1.321156,1.288461,1.29236,1.337809,1.276795,1.206589,1.273622,1.249769,1.238502,1.341558,1.202888,0.077686
0.088238,0.003074,0.026944,0.227516,0.40385,0.501562,0.601761,0.70036,0.775611,0.841924,1.030771,1.112203,1.158987,1.206159,1.257184,1.20914,1.248007,1.240742,1.269931,1.17579,1.242879,1.262086,1.215656,1.29311,1.129955,0.176919
