NDVI0412,NDVI0422,NDVI0427,NDVI0506,NDVI0516,NDVI0520,NDVI0531,NDVI0614,NDVI0620,NDVI0623,NDVI0627,NDVI0716,NDVI0721,NDVI0725,NDVI0802,NDVI0808,NDVI0812,NDVI0818
0.198436,0.183532,0.268273,0.340479,0.340798,0.337769,0.486214,0.626081,0.597148,0.618227,0.548883,0.610031,0.59295,0.543902,0.564385,0.616124,0.407637,0.364316
0.193839,0.179206,0.269262,0.349166,0.321704,0.319199,0.507335,0.646288,0.631762,0.671019,0.588348,0.61128,0.555158,0.547731,0.541337,0.59831,0.474239,0.38455
0.199997,0.199354,0.290606,0.426602,0.431889,0.404923,0.552079,0.591306,0.553419,0.589379,0.516767,0.540878,0.52969,0.530818,0.465322,0.50628,0.364842,0.310754
0.193674,0.192295,0.271282,0.379059,0.419452,0.412751,0.559775,0.602018,0.5566,0.606061,0.525764,0.566408,0.550099,0.534337,0.500376,0.555434,0.412447,0.353359
0.198658,0.166871,0.239664,0.320961,0.317403,0.328365,0.52193,0.661729,0.624662,0.652634,0.585297,0.610033,0.570493,0.554869,0.551946,0.578441,0.426333,0.349457
0.192072,0.200832,0.246874,0.323276,0.408605,0.415768,0.562583,0.622977,0.573843,0.61759,0.545829,0.582869,0.554602,0.53291,0.498273,0.54643,0.40311,0.339171
0.197839,0.173463,0.239611,0.331731,0.405051,0.419746,0.57301,0.612278,0.563363,0.612794,0.531392,0.581152,0.551154,0.531187,0.481439,0.5375,0.38732,0.322425
0.188577,0.2154,0.244247,0.324548,0.419707,0.4485,0.58972,0.626711,0.585451,0.618766,0.540393,0.560488,0.523087,0.531864,0.490236,0.551962,0.419362,0.357888
0.185391,0.192343,0.242669,0.367916,0.439292,0.441415,0.555247,0.618204,0.568532,0.592348,0.517559,0.545073,0.52181,0.523327,0.472664,0.536838,0.404187,0.343476
0.177413,0.209371,0.240597,0.33165,0.432425,0.425585,0.548341,0.628548,0.569404,0.596913,0.519025,0.545162,0.526332,0.522866,0.480245,0.542715,0.393777,0.338738
0.190007,0.187125,0.244284,0.342372,0.411426,0.406069,0.530328,0.625773,0.569231,0.599484,0.522853,0.559885,0.536788,0.522652,0.482032,0.531304,0.382351,0.33405
