ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818
-0.015926,-0.00638,-0.003184,-0.000946,0.032526,0.123264,0.142455,0.210206,0.156869,0.208602,0.444481,0.409207,0.448604,0.472035,0.457968,0.431314,0.440746,0.416105,0.349075,0.236987,0.318631,0.248119,0.248397,0.124734,0.057529,-0.019921,-0.042865
-0.015706,-0.009213,-0.00777,-0.00128,0.032374,0.082676,0.088578,0.143133,0.092238,0.153852,0.299739,0.23125,0.274819,0.291294,0.290077,0.274023,0.317234,0.32716,0.256644,0.169651,0.261058,0.203729,0.205399,0.08677,0.040743,-0.022651,-0.041367
-0.016094,-0.006421,-0.007268,0.000836,0.047754,0.141459,0.173032,0.237514,0.185779,0.255947,0.488243,0.459558,0.480173,0.478595,0.474155,0.447202,0.43443,0.428264,0.351208,0.246811,0.311943,0.253015,0.244181,0.109993,0.042349,-0.031064,-0.050983
-0.01634,-0.0067,-0.009649,0.002253,0.062516,0.135668,0.167946,0.231588,0.170405,0.244269,0.487166,0.467554,0.470694,0.479975,0.45402,0.45025,0.447675,0.435566,0.350259,0.254406,0.321419,0.252965,0.249272,0.100607,0.051191,-0.036761,-0.05109
-0.015717,-0.00634,-0.008879,0.000246,0.034185,0.122095,0.16276,0.238748,0.17101,0.252946,0.481132,0.471106,0.476278,0.481121,0.469878,0.450124,0.461963,0.443443,0.363953,0.251898,0.318704,0.248492,0.249758,0.091154,0.039333,-0.032397,-0.054602
-0.012262,-0.004019,-0.012402,0.003431,0.046034,0.128135,0.166736,0.24545,0.19731,0.284823,0.520582,0.481096,0.470043,0.493703,0.479069,0.435894,0.45963,0.407151,0.322961,0.207103,0.283318,0.203253,0.213106,0.076376,0.034145,-0.035377,-0.048118
-0.012737,-0.011096,-0.011177,0.003062,0.059729,0.238517,0.29786,0.366419,0.29416,0.352832,0.549146,0.287511,0.303425,0.353818,0.36476,0.31578,0.375173,0.349713,0.296346,0.186609,0.286831,0.238883,0.252602,0.124358,0.090748,-0.024123,-0.035452
-0.010615,-0.008039,-0.006454,0.00719,0.059602,0.181758,0.242627,0.347293,0.278086,0.334014,0.533909,0.484116,0.483073,0.498816,0.467588,0.437182,0.434163,0.407716,0.330965,0.213015,0.304184,0.23912,0.244747,0.105767,0.063158,-0.042263,-0.044184
-0.011013,-0.009032,-0.00808,0.002412,0.04726,0.158198,0.200851,0.284254,0.226482,0.259959,0.499226,0.514559,0.517975,0.532865,0.470141,0.461355,0.471949,0.418105,0.357058,0.235547,0.318855,0.24693,0.240627,0.105871,0.048699,-0.047364,-0.053429
-0.013454,-0.008494,-0.007357,0.003784,0.05363,0.170722,0.212136,0.290133,0.228958,0.259007,0.494376,0.523168,0.525393,0.514722,0.480952,0.476041,0.478884,0.407929,0.353745,0.231062,0.30582,0.230925,0.219101,0.091659,0.046468,-0.043173,-0.063793
-0.014133,-0.00586,-0.008486,0.000266,0.061906,0.16496,0.199345,0.276586,0.228748,0.258778,0.505175,0.513061,0.49895,0.472919,0.492664,0.451089,0.472679,0.401428,0.340144,0.211259,0.271792,0.195379,0.191565,0.080178,0.04253,-0.058785,-0.063546
-0.013574,-0.005566,-0.010735,-0.002339,0.064093,0.147396,0.191906,0.273606,0.206952,0.250474,0.506873,0.508745,0.510878,0.481627,0.463594,0.429074,0.446619,0.395557,0.352409,0.202092,0.259004,0.191432,0.179919,0.076715,0.035287,-0.05814,-0.067805
-0.011552,-0.005786,-0.008018,0.001081,0.056608,0.149955,0.185368,0.269717,0.201984,0.250545,0.472007,0.515385,0.514841,0.468625,0.464052,0.434838,0.448596,0.403089,0.364259,0.190241,0.27389,0.203752,0.190392,0.077889,0.041603,-0.047053,-0.065855
